Metric,Value
timing__hold__ws__corner:max_ss_100C_1v60,0.8422960345385951
timing__setup__ws__corner:max_ss_100C_1v60,20.656678729980317
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.842296
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,25.963499
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,19
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,8
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2622992730592496
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2627296510269175
timing__hold__ws__corner:max_ff_n40C_1v95,0.11076101460620555
timing__setup__ws__corner:max_ff_n40C_1v95,24.080649267324947
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.110761
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,29.821220
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,19
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79966
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000343817
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000376905
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000103147
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000376905
design_powergrid__voltage__worst,0.000376905
design_powergrid__voltage__worst__net:VPWR,1.79966
design_powergrid__drop__worst,0.000376905
design_powergrid__drop__worst__net:VPWR,0.000343817
design_powergrid__voltage__worst__net:VGND,0.000376905
design_powergrid__drop__worst__net:VGND,0.000376905
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00011500000000000000347812056933349822429590858519077301025390625
ir__drop__worst,0.000344000000000000013232470674751084516174159944057464599609375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
