Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_180,VPWR,li1,89.0100,144.1600,1.799960
FILLER_48_177,VPWR,li1,87.6300,144.1600,1.799960
FILLER_48_174,VPWR,li1,86.2500,144.1600,1.799960
FILLER_48_171,VPWR,li1,84.8700,144.1600,1.799960
FILLER_48_168,VPWR,li1,83.4900,144.1600,1.799960
FILLER_48_165,VPWR,li1,82.1100,144.1600,1.799960
FILLER_48_162,VPWR,li1,80.7300,144.1600,1.799960
FILLER_48_159,VPWR,li1,79.3500,144.1600,1.799960
FILLER_48_156,VPWR,li1,77.9700,144.1600,1.799960
FILLER_48_153,VPWR,li1,76.5900,144.1600,1.799960
FILLER_48_150,VPWR,li1,75.2100,144.1600,1.799960
FILLER_48_147,VPWR,li1,73.8300,144.1600,1.799960
FILLER_48_144,VPWR,li1,72.4500,144.1600,1.799960
FILLER_48_141,VPWR,li1,71.0700,144.1600,1.799960
FILLER_48_139,VPWR,li1,69.6900,144.1600,1.799960
FILLER_48_136,VPWR,li1,68.7700,144.1600,1.799960
FILLER_48_106,VPWR,li1,54.9700,144.1600,1.799964
FILLER_48_74,VPWR,li1,40.0200,144.1600,1.799973
FILLER_48_71,VPWR,li1,38.8700,144.1600,1.799973
FILLER_48_39,VPWR,li1,23.9200,144.1600,1.799985
FILLER_48_29,VPWR,li1,19.5500,144.1600,1.799987
FILLER_48_14,VPWR,li1,12.1900,144.1600,1.799986
FILLER_48_11,VPWR,li1,11.2700,144.1600,1.799986
FILLER_47_305,VPWR,li1,146.5100,138.7200,1.799944
FILLER_47_302,VPWR,li1,145.1300,138.7200,1.799944
FILLER_47_299,VPWR,li1,143.7500,138.7200,1.799944
FILLER_47_296,VPWR,li1,142.3700,138.7200,1.799944
FILLER_47_293,VPWR,li1,140.9900,138.7200,1.799944
FILLER_47_290,VPWR,li1,139.6100,138.7200,1.799944
FILLER_47_287,VPWR,li1,138.2300,138.7200,1.799944
FILLER_47_284,VPWR,li1,136.8500,138.7200,1.799944
FILLER_47_281,VPWR,li1,135.4700,138.7200,1.799944
FILLER_47_277,VPWR,li1,133.6300,138.7200,1.799944
FILLER_47_274,VPWR,li1,132.2500,138.7200,1.799944
